timestamp,Stempel_innen_mitte,Stempel_aussen,Matrize_oben_zarge,Matrize_mitte_zarge,Matrize_unten_zarge,Werkstueck_boden,Werkstueck_flansch,Werkstueck_zarge_mitte,Werkstück_zarge_unten,Werkstueck_zarge_oben
0.0,90.0,90.0,90.0,90.0,90.0,20.0,20.0,20.0,20.0,20.0
6.0,90.0,90.0,90.0,90.0,90.0,39.0195,39.0195,39.0195,39.0195,39.0195
12.0,90.0,90.0,90.0,90.0,90.0,57.6302,57.6302,57.6302,57.6302,57.6302
18.0,90.0,90.0,90.0,90.0,90.0,75.857,75.857,75.857,75.857,75.857
24.0,90.0,90.0,90.0,90.0,90.0,93.7225,93.7225,93.7225,93.7225,93.7225
30.0,90.0,90.0,90.0,90.0,90.0,111.333,111.333,111.333,111.333,111.333
36.0,90.0,90.0,90.0,90.0,90.0,128.74,128.74,128.74,128.74,128.74
42.0,90.0,90.0,90.0,90.0,90.0,145.951,145.951,145.951,145.951,145.951
48.0,90.0,90.0,90.0,90.0,90.0,162.971,162.971,162.971,162.971,162.971
54.0,90.0,90.0,90.0,90.0,90.0,179.808,179.808,179.808,179.808,179.808
60.0,90.0,90.0,90.0,90.0,90.0,196.466,196.466,196.466,196.466,196.466
66.0,90.0,90.0,90.0,90.0,90.0,212.988,212.988,212.988,212.988,212.988
72.0,90.0,90.0,90.0,90.0,90.0,229.387,229.387,229.387,229.387,229.387
78.0,90.0,90.0,90.0,90.0,90.0,245.666,245.666,245.666,245.666,245.666
84.0,90.0,90.0,90.0,90.0,90.0,261.826,261.826,261.826,261.826,261.826
90.0,90.0,90.0,90.0,90.0,90.0,277.871,277.871,277.871,277.871,277.871
96.0,90.0,90.0,90.0,90.0,90.0,293.803,293.803,293.803,293.803,293.803
102.0,90.0,90.0,90.0,90.0,90.0,309.644,309.644,309.644,309.644,309.644
108.0,90.0,90.0,90.0,90.0,90.0,325.407,325.407,325.407,325.407,325.407
114.0,90.0,90.0,90.0,90.0,90.0,341.095,341.095,341.095,341.095,341.095
120.0,90.0,90.0,90.0,90.0,90.0,356.707,356.707,356.707,356.707,356.707
126.0,90.0,90.0,90.0,90.0,90.0,372.245,372.245,372.245,372.245,372.245
132.0,90.0,90.0,90.0,90.0,90.0,387.71,387.71,387.71,387.71,387.71
138.0,90.0,90.0,90.0,90.0,90.0,403.107,403.107,403.107,403.107,403.107
144.0,90.0,90.0,90.0,90.0,90.0,418.454,418.454,418.454,418.454,418.454
150.0,90.0,90.0,90.0,90.0,90.0,433.751,433.751,433.751,433.751,433.751
156.0,90.0,90.0,90.0,90.0,90.0,448.998,448.998,448.998,448.998,448.998
162.0,90.0,90.0,90.0,90.0,90.0,464.197,464.197,464.197,464.197,464.197
168.0,90.0,90.0,90.0,90.0,90.0,479.347,479.347,479.347,479.347,479.347
174.0,90.0,90.0,90.0,90.0,90.0,494.45,494.45,494.45,494.45,494.45
180.0,90.0,90.0,90.0,90.0,90.0,509.515,509.515,509.515,509.515,509.515
186.0,90.0,90.0,90.0,90.0,90.0,524.548,524.548,524.548,524.548,524.548
192.0,90.0,90.0,90.0,90.0,90.0,539.55,539.55,539.55,539.55,539.55
198.0,90.0,90.0,90.0,90.0,90.0,554.521,554.521,554.521,554.521,554.521
204.0,90.0,90.0,90.0,90.0,90.0,569.461,569.461,569.461,569.461,569.461
210.0,90.0,90.0,90.0,90.0,90.0,584.37,584.37,584.37,584.37,584.37
216.0,90.0,90.0,90.0,90.0,90.0,599.249,599.249,599.249,599.249,599.249
222.0,90.0,90.0,90.0,90.0,90.0,614.108,614.108,614.108,614.108,614.108
228.0,90.0,90.0,90.0,90.0,90.0,628.948,628.948,628.948,628.948,628.948
234.0,90.0,90.0,90.0,90.0,90.0,643.77,643.77,643.77,643.77,643.77
240.0,90.0,90.0,90.0,90.0,90.0,658.572,658.572,658.572,658.572,658.572
